"file","caption","category","png_time","Run_time"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers1_sex1_mid.png","Middle of year expected numbers at age of females in (max ~ 6.9 thousand)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers1_sex2_mid.png","Middle of year expected numbers at age of males in (max ~ 6.9 thousand)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers2_meanage_mid.png","Middle of year mean age in the population","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers6_len_sex1.png","Beginning of year expected numbers at length of females in (max ~ 17.2 thousand)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers6_len_sex2.png","Beginning of year expected numbers at length of males in (max ~ 17.2 thousand)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers7_meanlen.png","Beginning of year mean length (cm) in the population","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers6_len_sex1.png","Middle of year expected numbers at length of females in (max ~ 17.2 thousand)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers6_len_sex2.png","Middle of year expected numbers at length of males in (max ~ 17.2 thousand)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers7_meanlen.png","Middle of year mean length (cm) in the population","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers4_equilagecomp.png","Equilibrium age distribution","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers5_ageerrorSD.png","Ageing imprecision: SD of observed age (yr)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers5_ageerrorMeans.png","Ageing imprecision: Mean observed age (yr)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers5_ageerror_matrix_1.png","Ageing imprecision: matrix for method 1","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers5_ageerror_matrix_2.png","Ageing imprecision: matrix for method 2","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lendat_flt1mkt2.png","length comp data, retained, 1_WA_SouthernWA_Rec_PCPR","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lendat_bubflt1mkt2.png","length comp data, retained, 1_WA_SouthernWA_Rec_PCPR (max=0.55)","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lendat_data_weighting_TA1.8_1_WA_SouthernWA_Rec_PCPR.png","Francis data weighting method TA1.8 1_WA_SouthernWA_Rec_PCPR <br> Suggested sample size adjustment (with 95% interval) for len data from 1_WA_SouthernWA_Rec_PCPR:<br>0.9735 (0.6606-2.0042)","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lendat_flt3mkt2.png","length comp data, retained, 3_WA_NorthernWA_Rec_PR","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lendat_bubflt3mkt2.png","length comp data, retained, 3_WA_NorthernWA_Rec_PR (max=0.99)","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lendat_data_weighting_TA1.8_3_WA_NorthernWA_Rec_PR.png","Francis data weighting method TA1.8 3_WA_NorthernWA_Rec_PR <br> Suggested sample size adjustment (with 95% interval) for len data from 3_WA_NorthernWA_Rec_PR:<br>0.9821 (0.6703-2.3182)","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/comp_lendat_mkt2_aggregated_across_time.png","length comp data, retained, aggregated across time by fleet","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/comp_lendat_sex1mkt2_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> length comp data, sexes combined, retained, comparing across fleets","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_gstagedat_flt1mkt0.png","ghost age comp data, whole catch, 1_WA_SouthernWA_Rec_PCPR","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_gstagedat_bubflt1mkt0.png","ghost age comp data, whole catch, 1_WA_SouthernWA_Rec_PCPR (max=0.13)","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_gstagedat_flt3mkt2.png","ghost age comp data, retained, 3_WA_NorthernWA_Rec_PR","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_gstagedat_bubflt3mkt2.png","ghost age comp data, retained, 3_WA_NorthernWA_Rec_PR (max=0.35)","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALdat_bubflt3mkt2.png","conditional age-at-length data, retained, 3_WA_NorthernWA_Rec_PR (max=0.96)","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALdat_data_weighting_TA1.8_condAge3_WA_NorthernWA_Rec_PR.png","Francis data weighting method TA1.8 for conditional age data 3_WA_NorthernWA_Rec_PR <br>For more info, see<br> <blockquote>Francis, R.I.C.C. (2011). Data weighting in statistical fisheries stock assessment models. <i>Can. J. Fish. Aquat. Sci.</i> 68: 1124-1138.</blockquote>","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALdat_Andre_plotsflt3mkt2_page1.png","Conditional AAL plot, retained, 3_WA_NorthernWA_Rec_PR (plot 1 of 6)
These plots show mean age and std. dev. in conditional A@L.<br>Left plots are mean A@L by size-class (obs. and pred.) with 90% CIs based on adding 1.64 SE of mean to the data.<br>Right plots in each pair are SE of mean A@L (obs. and pred.) with 90% CIs based on the chi-square distribution.","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALdat_Andre_plotsflt3mkt2_page2.png","Conditional AAL plot, retained, 3_WA_NorthernWA_Rec_PR (plot 2 of 6)
These plots show mean age and std. dev. in conditional A@L.<br>Left plots are mean A@L by size-class (obs. and pred.) with 90% CIs based on adding 1.64 SE of mean to the data.<br>Right plots in each pair are SE of mean A@L (obs. and pred.) with 90% CIs based on the chi-square distribution.","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALdat_Andre_plotsflt3mkt2_page3.png","Conditional AAL plot, retained, 3_WA_NorthernWA_Rec_PR (plot 3 of 6)
These plots show mean age and std. dev. in conditional A@L.<br>Left plots are mean A@L by size-class (obs. and pred.) with 90% CIs based on adding 1.64 SE of mean to the data.<br>Right plots in each pair are SE of mean A@L (obs. and pred.) with 90% CIs based on the chi-square distribution.","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALdat_Andre_plotsflt3mkt2_page4.png","Conditional AAL plot, retained, 3_WA_NorthernWA_Rec_PR (plot 4 of 6)
These plots show mean age and std. dev. in conditional A@L.<br>Left plots are mean A@L by size-class (obs. and pred.) with 90% CIs based on adding 1.64 SE of mean to the data.<br>Right plots in each pair are SE of mean A@L (obs. and pred.) with 90% CIs based on the chi-square distribution.","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALdat_Andre_plotsflt3mkt2_page5.png","Conditional AAL plot, retained, 3_WA_NorthernWA_Rec_PR (plot 5 of 6)
These plots show mean age and std. dev. in conditional A@L.<br>Left plots are mean A@L by size-class (obs. and pred.) with 90% CIs based on adding 1.64 SE of mean to the data.<br>Right plots in each pair are SE of mean A@L (obs. and pred.) with 90% CIs based on the chi-square distribution.","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALdat_Andre_plotsflt3mkt2_page6.png","Conditional AAL plot, retained, 3_WA_NorthernWA_Rec_PR (plot 6 of 6)
These plots show mean age and std. dev. in conditional A@L.<br>Left plots are mean A@L by size-class (obs. and pred.) with 90% CIs based on adding 1.64 SE of mean to the data.<br>Right plots in each pair are SE of mean A@L (obs. and pred.) with 90% CIs based on the chi-square distribution.","CompDat",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lenfit_flt1mkt2.png","length comps, retained, 1_WA_SouthernWA_Rec_PCPR","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lenfit_residsflt1mkt2.png","Pearson residuals, retained, 1_WA_SouthernWA_Rec_PCPR (max=4.84) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/comp_lenfit_sampsize_flt1mkt2.png","N-EffN comparison, length comps, retained, 1_WA_SouthernWA_Rec_PCPR","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lenfit_data_weighting_TA1.8_1_WA_SouthernWA_Rec_PCPR.png","Francis data weighting method TA1.8 1_WA_SouthernWA_Rec_PCPR <br> Suggested sample size adjustment (with 95% interval) for len data from 1_WA_SouthernWA_Rec_PCPR:<br>0.9735 (0.6701-2.1485)","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lenfit_flt3mkt2.png","length comps, retained, 3_WA_NorthernWA_Rec_PR","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lenfit_residsflt3mkt2.png","Pearson residuals, retained, 3_WA_NorthernWA_Rec_PR (max=6.62) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/comp_lenfit_sampsize_flt3mkt2.png","N-EffN comparison, length comps, retained, 3_WA_NorthernWA_Rec_PR","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_lenfit_data_weighting_TA1.8_3_WA_NorthernWA_Rec_PR.png","Francis data weighting method TA1.8 3_WA_NorthernWA_Rec_PR <br> Suggested sample size adjustment (with 95% interval) for len data from 3_WA_NorthernWA_Rec_PR:<br>0.9821 (0.6442-2.2294)","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/comp_lenfit_mkt2_aggregated_across_time.png","length comps, retained, aggregated across time by fleet","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/comp_lenfit_sex1mkt2_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> Pearson residuals, sexes combined, retained, comparing across fleets <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_gstagefit_flt1mkt0.png","ghost age comps, whole catch, 1_WA_SouthernWA_Rec_PCPR","AgeComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_gstagefit_residsflt1mkt0.png","Pearson residuals, whole catch, 1_WA_SouthernWA_Rec_PCPR (max=NA) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","AgeComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_gstagefit_flt3mkt2.png","ghost age comps, retained, 3_WA_NorthernWA_Rec_PR","AgeComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_gstagefit_residsflt3mkt2.png","Pearson residuals, retained, 3_WA_NorthernWA_Rec_PR (max=NA) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","AgeComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALfit_data_weighting_TA1.8_condAge3_WA_NorthernWA_Rec_PR.png","Francis data weighting method TA1.8 for conditional age data 3_WA_NorthernWA_Rec_PR <br>For more info, see<br> <blockquote>Francis, R.I.C.C. (2011). Data weighting in statistical fisheries stock assessment models. <i>Can. J. Fish. Aquat. Sci.</i> 68: 1124-1138.</blockquote>","A@LComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALfit_Andre_plotsflt3mkt2_page1.png","Conditional AAL plot, retained, 3_WA_NorthernWA_Rec_PR (plot 1 of 6)
These plots show mean age and std. dev. in conditional A@L.<br>Left plots are mean A@L by size-class (obs. and pred.) with 90% CIs based on adding 1.64 SE of mean to the data.<br>Right plots in each pair are SE of mean A@L (obs. and pred.) with 90% CIs based on the chi-square distribution.","A@LComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//comp_condAALfit_Andre_plotsflt3mkt2_page2.png","Conditional AAL plot, retained, 3_WA_NorthernWA_Rec_PR (plot 2 of 6)
These plots show mean age and std. dev. in conditional A@L.<br>Left plots are mean A@L by size-class (obs. and pred.) with 90% CIs based on adding 1.64 SE of mean to the data.<br>Right plots in each pair are SE of mean A@L (obs. and pred.) with 90% CIs based on the chi-square distribution.","A@LComp",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
